Partlist exported from C:/Users/mc041/OneDrive/Documents/EAGLE/projects/FLYTE_3.0/FLYTE_3.0.sch at 01-09-2024 17:35

Qty Value               Device                  Package                    Parts                                                                                            Description                                                                                                                                                                                                                                                    AVAILABILITY CENTERLINE_PITCH CHECK_PRICES                                                                              COMMENT  CUI_PURCHASE_URL                                                                                                                                       DESCRIPTION                                                                                                                                                               ELEMENT14_PART_NUMBER ELEMENT14_PRICE-STOCK EU_ROHS_COMPLIANCE        HEIGHT  MANUFACTURER MANUFACTURER_NAME  MANUFACTURER_PART_NUMBER MAXIMUM_PACKAGE_HEIGHT MF                    MP                  MPN NUMBER_OF_POSITIONS OC_FARNELL OC_NEWARK PACKAGE                       PARTREV  POPULARITY PRICE  PURCHASE-URL                                                                                                                                           SNAPEDA_LINK                                                                               SNAPEDA_PN          STANDARD                    
9                       LED.0603                0603.LED                   D3, D4, D5, D6, D7, D9, D11, D12, LED                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
4                       MOSFET-PWIDE            SOT23-WIDE                 Q2, Q3, Q4, Q5                                                                                   P-Channel Mosfet                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
2   0.1 ohm             RESISTOR.0603           0603                       R60, R63                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
6   0.1 uF              CAPACITOR.0603          0603                       C17, C29, C30, C31, C97, C101                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
16  0.22 uF             CAPACITOR.0603          0603                       C59, C60, C66, C67, C73, C74, C80, C81, C87, C88, C94, C95, C107, C108, C113, C114                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
11  03-JST-B3B-XH-A     03-JST-B3B-XH-A         B3B-XH                     AOA, FIN_1, FIN_2, FIN_3, FIN_4, MOTOR, SS, TVC_1, TVC_2, TVC_3, TVC_4                           JST CONNECTOR                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
1   1 nF                CAPACITOR.0603          0603                       C36                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
6   1 uF                CAPACITOR.0603          0603                       C8, C10, C26, C55, C56, C115                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
1   1.2 nF              CAPACITOR.0603          0603                       C104                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
1   1.3M ohm            RESISTOR.0603           0603                       R68                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
1   1.5 pF              CAPACITOR.0603          0603                       C50                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
