1S_POW	47.39	46.82	270.00	V60D60C-M3_I	V60D60CM3I
AC1	49.78	70.15	0.00	KX134-1211	KX1341211
C1	38.08	94.64	180.00	10 uF	0603
C10	58.03	80.97	0.00	1 uF	0603
C100	48.91	56.73	0.00	10uF	EIA3216-18/A-W
C101	51.11	59.48	270.00	0.1 uF	0603
C102	42.09	82.93	90.00	10 uF	0603
C103	39.74	80.70	0.00	4.7 uF	0603
C104	38.50	74.75	90.00	1.2 nF	0603
C105	46.10	74.44	90.00	22 nF	0603
C106	43.70	74.13	90.00	10 uF	0603
C107	47.90	75.72	90.00	0.22 uF	0603
C108	48.30	81.11	90.00	0.22 uF	0603
C109	58.35	68.00	90.00	4.7 uF	0603
C11	51.10	83.93	180.00	100 nF	0603
C110	60.31	71.20	180.00	1.8 nF	0603
C12	51.10	82.63	180.00	100 nF	0603
C13	58.04	77.97	0.00	100 nF	0603
C14	50.39	78.83	180.00	100 nF	0603
C15	50.38	77.33	180.00	100 nF	0603
C16	52.93	75.43	270.00	100 nF	0603
C30	48.82	73.51	180.00	0.1 uF	0603
C31	52.44	73.17	180.00	0.1 uF	0603
C32	62.37	73.43	180.00	10 nF	0603
C41	66.96	100.48	270.00	100 nF	0603
C42	65.52	100.48	270.00	100 nF	0603
C43	64.08	100.48	270.00	100 nF	0603
C5	48.74	87.98	270.00	100 nF	0603
C54	13.21	97.08	0.00	10 pF	0603
C55	13.20	92.48	0.00	1 uF	0603
C56	16.81	93.38	0.00	1 uF	0603
C57	22.18	96.32	180.00	4.7 uF	0603
C58	39.37	85.83	180.00	100 uF	0805
C6	55.44	74.47	90.00	100 nF	0603
C69	28.34	53.71	180.00	4.7 uF	0603
C7	51.10	81.13	180.00	100 nF	0603
C70	25.39	52.85	90.00	1.8 nF	0603
C71	21.81	46.54	270.00	22 nF	0603
C72	19.07	52.19	270.00	100 uF	1206
C73	21.48	44.31	180.00	0.22 uF	0603
C74	26.89	44.31	180.00	0.22 uF	0603
C76	27.39	63.81	90.00	4.7 uF	0603
C77	25.89	63.82	90.00	1.8 nF	0603
C78	21.71	57.43	270.00	22 nF	0603
C79	18.56	63.19	270.00	100 uF	1206
C8	58.03	82.47	0.00	1 uF	0603
C80	22.95	55.31	180.00	0.22 uF	0603
C81	28.36	55.31	180.00	0.22 uF	0603
C83	27.49	74.72	90.00	4.7 uF	0603
C84	25.99	74.71	90.00	1.8 nF	0603
C85	21.81	68.30	270.00	22 nF	0603
C86	15.51	76.61	180.00	100 uF	1206
C87	23.02	66.11	180.00	0.22 uF	0603
C88	28.33	66.11	180.00	0.22 uF	0603
C9	58.04	79.47	0.00	100 nF	0603
C90	27.39	85.35	90.00	4.7 uF	0603
C91	25.89	85.34	90.00	1.8 nF	0603
C92	21.81	78.97	270.00	22 nF	0603
C93	19.66	84.08	270.00	100 uF	1206
C94	22.91	76.81	180.00	0.22 uF	0603
C95	28.30	76.81	180.00	0.22 uF	0603
C96	40.46	68.96	270.00	10uF	EIA3216-18/A-W
C97	44.81	62.99	270.00	0.1 uF	0603
C98	41.43	55.53	0.00	10uF	EIA3216-18/A-W
C99	43.33	68.96	270.00	10uF	EIA3216-18/A-W
CHG_BST	44.31	78.82	90.00	LT3120JV#PBF	QFN50P400X500X83-29N
D1	9.72	94.90	90.00	RSX501LAM20TR	SODFL4725X105N
D10	46.02	70.07	90.00	RSX501LAM20TR	SODFL4725X105N
D13	28.03	90.39	270.00	RSX501LAM20TR	SODFL4725X105N
D2	27.01	96.38	180.00	RSX501LAM20TR	SODFL4725X105N
D8	37.62	70.18	90.00	RSX501LAM20TR	SODFL4725X105N
IC6	16.88	95.99	180.00	MAX8574EUT+T	SOT95P280X145-6N
IC8	41.09	60.13	270.00	MCP73843-420I_MS	SOP65P490X110-8N
IC9	48.49	61.33	270.00	MCP73844-840I_MS	SOP65P490X110-8N
J12	88.30	95.00	180.00	CON-SMA-EDGE-S	RFSOLUTIONS_CON-SMA-EDGE-S
J8	88.50	80.80	180.00	CON-SMA-EDGE-S	RFSOLUTIONS_CON-SMA-EDGE-S
L11	24.16	44.30	180.00	4.7 uH	0603
L12	25.67	55.30	180.00	4.7 uH	0603
L13	25.68	66.10	180.00	4.7 uH	0603
L14	25.61	76.80	180.00	4.7 uH	0603
L15	48.30	78.40	90.00	4.7 uH	0603
L6	62.39	74.90	0.00	27 nH	0603
L8	20.00	96.83	90.00	22 uH	0603
Q1	32.36	85.81	90.00	SI7625DN-T1-GE3	SIS862DNT1GE3
Q2	44.81	59.69	180.00		SOT23-WIDE
Q3	37.34	58.51	180.00		SOT23-WIDE
