AC1	110.00	72.50	0.00	KX134-1211	KX1341211
C1	114.95	64.06	270.00		0603
C100	93.35	68.52	270.00	10uF	EIA3216-18/A-W
C101	102.68	66.64	270.00	0.1 uF	0603
C11	129.78	75.81	0.00	100 nF	0603
C12	120.01	76.43	270.00	100 nF	0603
C13	120.01	79.14	90.00	100 nF	0603
C14	124.15	82.71	0.00	100 nF	0603
C15	124.14	81.21	0.00	100 nF	0603
C16	126.43	70.61	0.00	100 nF	0603
C30	106.54	71.68	180.00	0.1 uF	0603
C31	113.85	72.22	0.00	0.1 uF	0603
C34	159.00	96.68	180.00	47pF	0603
C35	118.35	64.04	270.00		0603
C38	121.75	58.47	90.00		0603
C39	159.00	95.18	180.00	1uF	0603
C4	110.50	64.63	270.00		0603
C40	159.00	93.68	180.00	10uF	0603
C52	113.18	94.63	90.00	100 uF	1206
C53	115.12	96.05	90.00	1 uF	0603
C54	114.80	76.88	180.00	10 pF	0603
C55	114.80	78.32	0.00	1 uF	0603
C56	119.88	86.82	270.00	1 uF	0603
C57	119.99	84.18	180.00	4.7 uF	0603
C58	93.82	77.42	270.00	100 uF	1206
C59	93.70	73.78	180.00	1 uF	0603
C6	124.13	84.21	0.00	100 nF	0603
C60	91.50	77.39	270.00	100 uF	1206
C62	126.22	88.62	90.00	4.7 uF	0603
C63	124.72	88.63	90.00	1 uF	0603
C7	126.42	72.11	0.00	100 nF	0603
C99	102.79	77.26	0.00	10uF	EIA3216-18/A-W
D1	117.74	80.24	90.00	RSX501LAM20TR	SODFL4725X105N
D10	96.65	77.39	90.00	RSX501LAM20TR	SODFL4725X105N
D13	111.50	51.95	0.00	RSX501LAM20TR	SODFL4725X105N
D2	127.54	81.95	90.00	RSX501LAM20TR	SODFL4725X105N
IC6	116.80	85.47	270.00	MAX8574EUT+T	SOT95P280X145-6N
IC9	100.10	68.48	270.00	MCP73844-840I_MS	SOP65P490X110-8N
L1	95.29	86.92	90.00	33 uH	INDP125125X600N
L8	119.98	81.82	270.00	22 uH	0603
Q1	106.02	52.41	270.00	SI7625DN-T1-GE3	SIS862DNT1GE3
Q2	96.44	66.50	180.00		SOT23-WIDE
Q4	116.51	93.80	0.00		SOT23-WIDE
Q5	122.30	91.24	90.00		SOT23-WIDE
R15	143.23	56.03	0.00	10k ohm	0603
R16	99.00	75.89	90.00	365k ohm	0603
R17	99.00	78.77	90.00	57.6k ohm	0603
R18	114.80	75.40	180.00	100k ohm	0603
R20	114.23	86.29	90.00	10k ohm	0603
R21	137.20	56.03	0.00	10k ohm	0603
R24	97.43	73.11	90.00	0.1 ohm	0603
R25	67.40	55.43	0.00	0.13 ohm	0603
R26	131.07	56.13	0.00	10k ohm	0603
R36	124.84	56.13	0.00	10k ohm	0603
R37	67.40	53.93	0.00	0.13 ohm	0603
R38	67.40	52.43	0.00	0.13 ohm	0603
R39	67.40	50.83	0.00	0.13 ohm	0603
R40	67.80	73.53	0.00	0.13 ohm	0603
R41	67.80	74.93	0.00	0.13 ohm	0603
R42	67.80	76.43	0.00	0.13 ohm	0603
R44	67.80	77.93	0.00	0.13 ohm	0603
R45	67.60	66.93	0.00	0.13 ohm	0603
R46	67.60	65.43	0.00	0.13 ohm	0603
R47	67.60	63.93	0.00	0.13 ohm	0603
R48	67.60	62.43	0.00	0.13 ohm	0603
R49	67.70	84.53	0.00	0.13 ohm	0603
R50	67.70	86.04	0.00	0.13 ohm	0603
R51	67.70	87.54	0.00	0.13 ohm	0603
R52	67.70	89.04	0.00	0.13 ohm	0603
R57	136.44	50.50	0.00	100k ohm	0603
R60	133.75	50.50	0.00	140k ohm	0603
R63	95.96	73.11	270.00	0.1 ohm	0603
R65	101.11	73.15	90.00	100k ohm	0603
R70	116.41	91.26	180.00	10k ohm	0603
R71	142.50	50.51	0.00	100k ohm	0603
R74	139.81	50.51	0.00	140k ohm	0603
R79	124.04	50.51	0.00	100k ohm	0603
R86	121.33	50.51	0.00	140k ohm	0603
R91	130.28	50.51	0.00	100k ohm	0603
R92	127.57	50.51	0.00	140k ohm	0603
R93	159.00	90.66	180.00	10k ohm	0603
R94	159.00	92.16	180.00	10k ohm	0603
R95	102.54	96.02	90.00	10k ohm	0603
U$3	122.23	87.29	0.00	SN74LVC1G04DBVR	SOT23-5
U10	117.48	57.81	270.00	LM1117-3.3	SOT230
U11	78.27	62.48	90.00	MIC29302WU-TR	TO-263-5_MCH
U12	78.27	73.71	90.00	MIC29302WU-TR	TO-263-5_MCH
U13	78.27	84.85	90.00	MIC29302WU-TR	TO-263-5_MCH
U2	131.07	53.58	270.00	CJ3400	SOT91P240X120-3N
U3	124.87	53.58	270.00	CJ3400	SOT91P240X120-3N
U4	110.48	57.79	270.00	LM1117-3.3	SOT230
U5	143.27	53.48	270.00	CJ3400	SOT91P240X120-3N
U7	137.27	53.48	270.00	CJ3400	SOT91P240X120-3N
U8	78.27	51.25	90.00	MIC29302WU-TR	TO-263-5_MCH
VR1	107.59	89.86	270.00	XL6009	DPAK170P1435X465-6N
