BOOT	115.09	95.92	270.00	DTSM-3	DTSM-3
BUZZER	81.55	50.71	180.00	BUZZER	CUI_CMT-8530S-SMT
C10	127.91	82.81	270.00	1 uF	0603
C115	97.82	82.75	270.00	1 uF	0603
C17	86.42	57.01	0.00	0.1 uF	0603
C18	94.25	88.63	90.00	10uF	EIA3216-18/A-W
C19	106.61	65.09	270.00	100 nF	0603
C2	121.29	70.16	90.00	24 pF	0603
C20	108.08	65.06	90.00	100 nF	0603
C21	105.65	72.48	180.00	100 nF	0603
C22	109.18	68.74	90.00	100 nF	0603
C23	105.67	73.98	180.00	25 pF	0603
C24	110.62	75.52	0.00	25 pF	0603
C25	105.69	70.98	180.00	100 nF	0603
C26	145.88	73.50	90.00	1 uF	0603
C27	144.38	73.49	90.00	10 nF	0603
C28	145.88	70.78	90.00	470 pF	0603
C29	86.47	60.82	0.00	0.1 uF	0603
C3	124.49	67.35	90.00	24 pF	0603
C32	114.82	53.56	270.00	10 nF	0603
C33	129.43	54.22	0.00	120 pF	0603
C36	131.31	56.02	0.00	1 nF	0603
C37	138.40	54.22	0.00	120 pF	0603
C41	73.26	49.55	180.00	10uF	EIA3216-18/A-W
C42	73.25	52.15	180.00	10 uF	EIA3216-18/A-W
C43	73.24	60.75	180.00	10uF	EIA3216-18/A-W
C44	73.23	63.25	180.00	10 uF	EIA3216-18/A-W
C45	73.22	71.95	180.00	10uF	EIA3216-18/A-W
C46	73.25	74.44	180.00	10 uF	EIA3216-18/A-W
C47	73.24	83.14	180.00	10uF	EIA3216-18/A-W
C48	73.23	85.64	180.00	10 uF	EIA3216-18/A-W
C49	83.04	88.68	90.00	10 uF	EIA3216-18/A-W
C5	118.26	83.39	180.00	100 nF	0603
C50	86.47	64.42	0.00	0.1 uF	0603
C51	86.46	68.02	0.00	0.1 uF	0603
C61	129.42	82.81	270.00	100 nF	0603
C8	126.41	82.79	270.00	1 uF	0603
C9	128.50	80.29	180.00	100 nF	0603
CHIP_ANT	155.00	50.22	180.00	W3010	XCVR_W3010
D11	101.67	74.06	0.00		0603.LED
D12	97.56	72.44	270.00		0603.LED
D4	108.79	58.84	180.00		0603.LED
D5	131.60	98.56	0.00		0603.LED
D6	96.06	72.41	270.00		0603.LED
D7	108.82	57.34	180.00		0603.LED
FLASH	116.84	87.16	0.00	W25Q128JVSIQ	SOIC127P790X216-8N
GNSS	122.53	57.50	0.00	TESEO-LIV3F	SON110P970X1010X230-18N
IC1	110.20	65.01	90.00	BMP280	BMP280
IC2	153.76	63.33	90.00	MPXV5100DP	MPXV5100DP
IC3	141.67	54.25	180.00	AS179-92LF	SOT65P220X100-6N
J6	103.56	92.68	180.00	503182-1852	5031821852
L6	116.28	53.54	90.00	27 nH	0603
L7	135.73	54.22	0.00	5.6 nH	0603
LED	121.15	65.16	0.00		0603.LED
LNA	133.74	54.22	0.00	BGA725L6	AMP_BGA725L6E6327FTSA1
Q3	108.10	53.80	0.00		SOT23-WIDE
R0	114.69	90.88	180.00	10k ohm	0603
R1	117.44	90.87	180.00	1k ohm	0603
R10	110.23	61.37	180.00	10k ohm	0603
R100	131.66	95.56	180.00	0 ohm	0603
R101	105.40	53.40	270.00	10k ohm	0603
R102	124.60	88.70	0.00		0805
R11	114.24	72.27	180.00	10 kohm	0603
R12	74.72	54.20	0.00	100k ohm	0603
R13	107.03	82.65	270.00	10k ohm	0603
R14	110.67	68.74	90.00	10 kohm	0603
R19	97.53	69.68	270.00	60 ohm	0603
R2	123.95	65.13	0.00	60 ohm	0603
R22	80.90	87.21	270.00	100k ohm	0603
R23	80.90	89.92	270.00	301k ohm	0603
R27	71.87	54.20	0.00	301k ohm	0603
R28	74.66	65.30	0.00	100k ohm	0603
R29	105.96	58.83	0.00	315 ohm	0603
R3	123.37	82.84	90.00	27.4 ohm	0603
R30	71.85	65.30	0.00	301k ohm	0603
R31	74.74	76.40	0.00	100k ohm	0603
R32	71.93	76.40	0.00	301k ohm	0603
R33	74.72	87.60	0.00	100k ohm	0603
R34	131.65	97.13	0.00	158 ohm	0603
R35	71.91	87.60	0.00	301k ohm	0603
R4	124.87	82.83	90.00	27.4 ohm	0603
R43	105.57	82.67	90.00	10k ohm	0603
R5	122.77	70.12	90.00	1k ohm	0603
R53	71.70	57.70	0.00	100k ohm	0603
R54	74.69	57.70	0.00	140k ohm	0603
R55	71.70	56.20	0.00	100k ohm	0603
R56	74.69	56.20	0.00	140k ohm	0603
R58	96.04	69.67	270.00	60 ohm	0603
R59	105.98	57.36	180.00	315 ohm	0603
R6	120.19	90.87	180.00	5.1k ohm	0603
R61	87.60	47.14	90.00	100k ohm	0603
R62	87.59	49.86	90.00	140k ohm	0603
R64	101.60	72.66	180.00	158 ohm	0603
R66	71.84	68.91	0.00	100k ohm	0603
R67	74.63	68.91	0.00	140k ohm	0603
R68	71.82	67.41	0.00	100k ohm	0603
R69	74.61	67.41	0.00	140k ohm	0603
R7	125.93	91.00	270.00	5.1k ohm	0603
R72	99.34	82.72	270.00	10k ohm	0603
R73	112.74	63.13	270.00	10k ohm	0603
R75	71.88	80.01	0.00	100k ohm	0603
R76	74.77	80.01	0.00	140k ohm	0603
R77	71.86	78.51	0.00	100k ohm	0603
R78	74.75	78.51	0.00	140k ohm	0603
R8	74.81	46.87	180.00	100 ohm	0603
R80	112.66	65.86	90.00	10k ohm	0603
R81	115.66	64.25	90.00	10k ohm	0603
R82	117.86	64.24	90.00	10k ohm	0603
R83	102.34	82.67	270.00	10k ohm	0603
R84	100.84	82.68	270.00	10k ohm	0603
R85	104.04	82.69	270.00	10k ohm	0603
R87	69.92	90.81	0.00	100k ohm	0603
R88	72.61	90.81	0.00	140k ohm	0603
R89	71.90	89.31	0.00	100k ohm	0603
R9	110.22	62.87	180.00	10k ohm	0603
R90	74.59	89.31	0.00	140k ohm	0603
R96	131.57	83.44	0.00	10k ohm	0603
R97	131.58	81.95	180.00		0603
R98	132.34	91.96	180.00	0 ohm	0603
R99	132.35	93.46	180.00	0 ohm	0603
RP2040	122.90	76.83	0.00	RP2040-QFN56	RP2040-QFN-56
SAW	131.93	54.22	180.00	SAW_FILTER	FIL_AFS14A04-1575.42-T3
U$1	136.91	56.78	90.00	SN74LVC1G04DBVR	SOT23-5
U1	110.00	72.50	0.00	BNO055	LGA28R50P4X10_380X520X100
U14	88.68	83.09	180.00	MIC29302WU-TR	TO-263-5_MCH
U15	81.61	64.95	0.00	ADS1115IDGSR	SOP50P490X110-10N
U16	81.61	68.55	0.00	ADS1115IDGSR	SOP50P490X110-10N
U17	130.19	88.03	0.00	CP2102	QFN50P500X500X100-29N
U6	81.61	57.65	0.00	ADS1115IDGSR	SOP50P490X110-10N
U9	81.61	61.35	0.00	ADS1115IDGSR	SOP50P490X110-10N
X6	124.14	93.77	180.00	USB Type C	USB_C_CUSB31-CFM2AX-01-X
XTAL	122.04	67.45	180.00	ASE	ASE
Y1	107.15	75.99	0.00	FC-135_32.7680KA-A0	XTAL_FC-135_32.7680KA-A0
