AC1	39.53	16.89	270.00	KX134-1211	KX1341211
BOOT	23.88	45.95	270.00	DTSM-3	DTSM-3
BUZZER	12.96	44.49	0.00	BUZZER	CUI_CMT-8530S-SMT
C1	58.63	34.68	90.00	10 uF	0603
C10	44.37	33.21	180.00	10 uF	0603
C17	8.89	23.54	270.00	10 uF	0603
C2	37.53	25.87	90.00	18 pF	0603
C20	45.41	16.73	90.00	10 uF	0603
C21	22.39	23.28	270.00	10 uF	0603
C22	24.81	21.09	0.00	100 nF	0603
C23	22.41	27.90	90.00	27 pF	0603
C24	28.01	27.89	90.00	27 pF	0603
C26	62.72	45.11	180.00	10 uF	0603
C28	62.67	46.59	0.00	470 pF	0603
C3	40.63	23.16	90.00	18 pF	0603
C30	46.91	16.75	90.00	10 uF	0603
C31	23.61	14.74	90.00	10 uF	0603
C32	51.11	11.03	90.00	10 uF	0603
C33	64.42	10.79	0.00	120 pF	0603
C35	69.30	13.81	180.00	120 pF	0603
C37	69.29	10.79	0.00	120 pF	0603
C4	52.19	42.14	270.00	10 uF	0603
C40	68.11	23.18	90.00	10 uF	0603
C5	51.20	29.80	180.00	10 uF	0603
C6	48.60	25.80	90.00	100 pF	0603
C62	42.96	36.70	180.00	10 uF	0603
C63	46.70	34.17	270.00	10 uF	0603
C7	47.10	25.80	90.00	10 uF	0603
C8	44.35	34.71	180.00	10 uF	0603
D11	33.35	21.03	0.00		0603.LED
D12	25.86	35.57	180.00		0603.LED
D3	24.70	39.27	180.00		0603.LED
D4	35.01	17.77	180.00		0603.LED
D5	49.58	48.93	0.00		0603.LED
D6	25.93	33.97	180.00		0603.LED
D7	35.04	19.07	180.00		0603.LED
FLASH	33.00	39.00	0.00	W25Q128JVSIQ	SOIC127P790X216-8N
GNSS	57.46	14.09	0.00	TESEO-LIV3F	SON110P970X1010X230-18N
IC1	43.32	18.07	0.00	BMP280	BMP280
IC2	68.86	37.54	90.00	MPXV5100DP	MPXV5100DP
J2	72.99	10.78	180.00	CON-SMA-EDGE-S	RFSOLUTIONS_CON-SMA-EDGE-S
L1	69.31	12.33	0.00		0603
LED	24.97	37.07	180.00		0603.LED
R0	27.49	38.60	270.00	10k ohm	0603
R1	27.50	41.31	270.00	1k ohm	0603
R10	43.30	16.10	180.00	10k ohm	0603
R100	52.50	33.48	180.00	10k ohm	0603
R101	60.91	41.48	180.00	10k ohm	0603
R11	30.00	23.19	90.00	10k ohm	0603
R113	48.68	34.18	90.00	10k ohm	0603
R114	50.22	34.13	270.00	10k ohm	0603
R115	49.82	43.54	270.00	0 ohm	0603
R116	48.42	43.55	270.00	0 ohm	0603
R117	46.12	43.56	270.00	0 ohm	0603
R14	27.54	21.10	180.00	10k ohm	0603
R19	23.07	35.50	180.00	100 ohm	0603
R2	22.50	39.38	90.00	100 ohm	0603
R29	32.13	17.80	0.00	100 ohm	0603
