data_type, time(ms), state, temp - calib temp, alt, ram_diff, bno_x, bno_y, bno_z, gyro_x, gyro_y, gyro_z
b'F',743295,1,3.92,21.77783203,240696.2813,163.29,18.47,-8.8,58.5625,65.5,-6.5625
b'F',743330,1,3.9,26.59490967,1190801.25,163.29,15.38,-11.91,62.0625,48.375,-10.75
b'F',743359,1,3.91,29.79376221,1190801.25,163.29,14.96,-10.43,72.125,30.5625,-10.1875
b'F',743386,1,3.92,32.93121338,1190801.25,163.29,6.99,-14,79.25,17.625,-9.0625
b'F',743422,1,3.93,37.15856934,2739955.25,141.47,3.16,-12.25,90.875,-8.5,-0.9375
b'F',743450,1,3.94,40.36206055,2739955.25,101.7,0.85,-11.47,88.125,-27.625,8.75
b'F',743486,1,3.95,42.53704834,2739955.25,96.85,0.94,-8.2,67.125,-45.125,20.8125
b'F',743514,1,3.95,43.49957275,4379198.5,91.58,2.83,-5.42,42.1875,-56.5625,32.4375
b'F',743543,1,3.95,44.52807617,4379198.5,82.09,2.98,-3.44,21.375,-62.8125,36.875
b'F',743579,1,3.95,44.91967773,4379198.5,76.76,5.51,-0.67,3.1875,-63.3125,37.6875
b'F',743608,1,3.95,45.42919922,5832366.5,66.75,5.87,1.15,-3.625,-54.0625,32.375
b'F',743680,1,3.97,49.7131958,5832366.5,64.55,6.99,3.31,-12.875,-18,3.4375
b'F',743719,1,3.97,52.78930664,6819780.5,50.95,5.61,2.57,-14.875,5.0625,-17.5
b'F',743751,1,3.97,55.78997803,6819780.5,38.22,4.02,5.25,-16.3125,17.9375,-27.625
b'F',743790,1,3.95,58.27160645,6819780.5,28.82,0.45,1.63,-19.25,32,-34.25
b'F',743822,1,3.95,61.25341797,7511935.5,25.13,0.09,-0.05,-25.25,37.5,-33
b'F',743855,1,3.94,63.80114746,7511935.5,23.57,-2.64,-2.04,-34.125,40,-29.375
b'F',743892,1,3.95,69.76470947,8053090.5,22.96,-3.66,-4.46,-52.6875,31.125,-15.375
b'F',743930,1,3.94,74.99694824,8053090.5,21.18,-4,-6.13,-77.3125,14.375,1.75
b'F',743969,1,3.93,80.11126709,8053090.5,19.94,-2.33,-6.15,-102.0625,-6.5,14.3125
b'F',744003,1,3.94,84.41412354,8411080,18.19,-0.67,-6.21,-114.25,-22.0625,17.1875
