(data_type, time, state, temperature, alt, ram_diff, bno_x, bno_y, bno_z, high_x, high_y, high_z, gyro_x, gyro_y, gyro_z, mag_x, mag_y, mag_z, heading, roll, pitch)
0,488,0,0.0,0.01837158,0.0,3.72,0.36,-9.02,3.14,2.71,9.81,0.0,0.3125,-0.1875,-21.75,-62.56,18.5,198.3,21.6,-177.8
0,497,0,0.0,0.01837158,0.0,3.72,0.36,-9.02,3.14,2.71,9.81,0.0625,-0.0625,0.0625,-21.75,-62.56,18.5,198.3,21.6,-177.8
0,506,0,0.0,0.07971191,0.0,3.91,0.36,-8.79,3.14,2.71,9.81,0.125,0.1875,0.0625,-21.75,-62.56,18.5,198.3,21.6,-177.8
0,528,0,0.0,0.07971191,0.0,4.05,0.28,-8.889999,3.14,2.71,9.81,-0.125,-0.125,0.0,-22.87,-64.75,17.56,198.3,21.6,-177.8
0,541,0,0.0,0.07971191,0.0,3.65,0.32,-9.65,3.14,2.71,9.81,0.125,-0.25,0.125,-22.87,-64.75,17.56,198.3,21.6,-177.8
0,562,0,0.0,0.07971191,0.0,3.54,0.26,-9.45,3.14,2.71,9.81,0.5625,-0.75,0.125,-22.87,-64.75,17.56,198.3,21.6,-177.8
0,579,0,0.0,0.07971191,-16.8125,3.71,0.38,-8.99,3.14,2.71,9.81,0.3125,-0.3125,0.0,-23.25,-66.25,18.06,198.3,21.6,-177.8
0,596,0,0.009999999,0.01837158,-16.8125,3.83,0.32,-8.849999,3.14,2.71,9.81,0.0,-0.375,-0.0625,-23.25,-66.25,18.06,198.3,21.6,-177.8
0,610,0,0.009999999,0.01837158,-16.8125,3.55,0.22,-8.92,3.14,2.71,9.81,-0.375,0.125,0.0,-23.25,-66.25,18.06,198.3,21.6,-177.8
0,757,0,0.009999999,-0.04296875,-196.8125,3.57,0.26,-8.82,3.14,2.71,9.81,0.125,-0.5,0.125,-21.37,-65.18,17.56,198.3,21.5,-177.8
0,769,0,0.0,0.01837158,93.1875,3.23,0.22,-8.76,3.14,2.71,9.81,-0.375,-0.1875,-0.0625,-21.37,-65.18,17.56,198.3,21.5,-177.8
1,18.0,36.0,11.95679,N,73.0,44.0,45.35591,E,0.0,0.0,0.0,0.0,b'GLL',-524.1004,755.0,12.0
0,788,0,0.009999999,0.01837158,93.1875,3.54,0.32,-9.679999,3.14,2.71,9.81,0.0625,0.5,-0.125,-19.18,-59.18,10.75,198.3,21.5,-177.8
0,802,0,0.0,0.07971191,93.1875,3.94,0.32,-10.07,3.14,2.71,9.81,-0.0625,0.5,0.0625,-19.18,-59.18,10.75,198.3,21.5,-177.8
0,826,0,0.009999999,0.01837158,93.1875,3.54,0.23,-8.82,3.14,2.71,9.81,-0.125,0.375,-0.0625,-19.18,-57.0,10.0,198.3,21.5,-177.8
0,842,0,0.009999999,0.01837158,93.1875,3.71,0.35,-8.44,3.14,2.71,9.81,0.125,0.1875,-0.125,-19.18,-57.0,10.0,198.3,21.5,-177.8
0,866,0,0.009999999,-0.04296875,451.1875,4.09,0.48,-9.48,3.14,2.71,9.81,0.0625,0.25,0.0,-19.18,-57.0,10.0,198.3,21.5,-177.8
0,883,0,0.009999999,-0.04296875,451.1875,3.66,0.43,-9.45,3.14,2.71,9.81,0.1875,-0.5625,0.125,-19.87,-61.06,12.87,198.3,21.5,-177.8
0,907,0,0.009999999,-0.04296875,451.1875,3.85,0.26,-9.08,3.14,2.71,9.81,0.5625,-0.5625,0.125,-19.87,-61.06,12.87,198.3,21.5,-177.8
0,922,0,0.009999999,-0.04296875,451.1875,3.24,0.17,-8.599999,3.14,2.71,9.81,0.125,-0.4375,0.1875,-19.87,-61.06,12.87,198.3,21.5,-177.8
0,937,0,0.009999999,-0.04296875,451.1875,3.11,0.11,-8.849999,3.14,2.71,9.81,-0.0625,-0.1875,-0.0625,-20.25,-57.75,11.18,198.3,21.5,-177.8
0,950,0,0.009999999,0.01837158,451.1875,4.09,0.52,-10.19,3.14,2.71,9.81,0.1875,0.0625,-0.0625,-20.25,-57.75,11.18,198.3,21.5,-177.8
0,960,0,0.009999999,-0.04296875,60.1875,4.07,0.29,-9.71,3.14,2.71,9.81,0.1875,0.375,0.0,-20.25,-57.75,11.18,198.3,21.5,-177.8
0,969,0,0.009999999,-0.04296875,60.1875,4.07,0.29,-9.71,3.14,2.71,9.81,0.1875,0.0625,-0.125,-20.25,-57.75,11.18,198.3,21.5,-177.8
1,18.0,36.0,11.95679,N,73.0,44.0,45.34447,E,0.0,0.0,0.0,0.0,b'GLL',-524.1004,959.0,10.0
0,978,0,0.009999999,-0.04296875,60.1875,3.71,0.39,-9.28,3.14,2.71,9.81,0.1875,0.1875,-0.0625,-18.06,-56.25,7.75,198.3,21.5,-177.8
0,986,0,0.009999999,-0.04296875,60.1875,3.57,0.3,-8.82,3.14,2.71,9.81,0.1875,0.1875,-0.0625,-18.06,-56.25,7.75,198.3,21.5,-177.8
0,996,0,0.009999999,-0.04296875,60.1875,3.54,0.3,-8.679999,3.14,2.71,9.81,0.1875,0.125,-0.0625,-18.06,-56.25,7.75,198.3,21.5,-177.8
0,1006,0,0.0,-0.04296875,60.1875,3.92,0.3,-8.92,3.14,2.71,9.81,0.3125,-0.0625,0.0625,-18.06,-56.25,7.75,198.3,21.5,-177.8
0,1016,0,0.009999999,-0.1043091,60.1875,4.11,0.22,-9.139999,3.14,2.71,9.81,0.3125,-0.1875,0.0,-18.06,-56.25,7.75,198.3,21.5,-177.8
0,1026,0,0.009999999,-0.04296875,60.1875,3.95,0.34,-9.29,3.14,2.71,9.81,0.125,-0.375,0.0,-18.06,-56.25,7.75,198.3,21.5,-177.8
0,1034,0,0.009999999,-0.1043091,60.1875,3.86,0.38,-9.51,3.14,2.71,9.81,0.125,-0.375,0.0625,-19.18,-60.68,11.68,198.3,21.5,-177.8
0,1044,0,0.009999999,-0.1043091,60.1875,3.65,0.4,-9.389999,3.14,2.71,9.81,0.1875,-0.4375,0.125,-19.18,-60.68,11.68,198.3,21.5,-177.8
0,1056,0,0.009999999,-0.1043091,-317.8125,3.74,0.25,-9.33,3.14,2.71,9.81,0.375,-0.4375,0.4375,-19.18,-60.68,11.68,198.3,21.5,-177.8
0,1066,0,0.009999999,-0.1043091,-317.8125,3.41,0.12,-8.77,3.14,2.71,9.81,0.3125,-0.25,0.125,-19.18,-60.68,11.68,198.3,21.5,-177.8
0,1076,0,0.009999999,-0.1043091,-317.8125,3.25,0.11,-8.599999,3.14,2.71,9.81,-0.0625,-0.25,0.0625,-19.18,-60.68,11.68,198.3,21.5,-177.8
0,1082,0,0.009999999,-0.1043091,-317.8125,3.17,0.17,-9.0,3.14,2.71,9.81,-0.125,0.125,-0.1875,-19.18,-56.25,11.18,198.3,21.5,-177.8
0,1090,0,0.009999999,-0.1043091,-317.8125,3.17,0.17,-9.0,3.14,2.71,9.81,-0.0625,0.3125,-0.0625,-19.18,-56.25,11.18,198.3,21.5,-177.8
0,1097,0,0.009999999,-0.1655884,-317.8125,3.68,0.24,-9.8,3.14,2.71,9.81,-0.0625,0.3125,-0.0625,-19.18,-56.25,11.18,198.3,21.5,-177.8
0,1106,0,0.009999999,-0.1655884,-317.8125,3.86,0.43,-9.82,3.14,2.71,9.81,0.0,0.25,-0.0625,-19.18,-56.25,11.18,198.3,21.5,-177.8
0,1116,0,0.009999999,-0.1655884,-317.8125,4.03,0.32,-10.03,3.14,2.71,9.81,0.25,0.3125,-0.1875,-19.18,-56.25,11.18,198.3,21.5,-177.8
0,1250,0,0.009999999,-0.1655884,-158.8125,3.81,0.35,-9.34,3.14,2.71,9.81,0.125,0.1875,-0.1875,-18.75,-56.25,9.87,198.3,21.5,-177.8
0,1258,0,0.009999999,-0.1655884,-158.8125,3.92,0.37,-9.52,3.14,2.71,9.81,0.125,0.1875,-0.1875,-18.75,-56.25,9.87,198.3,21.5,-177.8
0,1267,0,0.009999999,-0.1655884,-158.8125,3.84,0.33,-9.29,3.14,2.71,9.81,0.125,0.125,-0.0625,-18.75,-56.25,9.87,198.3,21.5,-177.8
0,1277,0,0.009999999,-0.1655884,-158.8125,3.85,0.41,-8.77,3.14,2.71,9.81,-0.125,0.3125,-0.0625,-18.75,-56.25,9.87,198.3,21.5,-177.8
0,1285,0,0.009999999,-0.1655884,-158.8125,3.96,0.39,-8.95,3.14,2.71,9.81,0.1875,0.25,-0.125,-18.06,-57.75,10.75,198.3,21.5,-177.8
0,1295,0,0.009999999,-0.1655884,-158.8125,4.12,0.31,-8.8,3.14,2.71,9.81,0.1875,-0.0625,0.0625,-18.06,-57.75,10.75,198.3,21.5,-177.8
0,1306,0,0.009999999,-0.1655884,-158.8125,3.81,0.34,-8.74,3.14,2.71,9.81,0.1875,-0.375,0.0625,-18.06,-57.75,10.75,198.3,21.5,-177.8
0,1317,0,0.009999999,-0.1655884,-158.8125,3.96,0.28,-9.29,3.14,2.71,9.81,0.3125,-0.5625,0.1875,-18.06,-57.75,10.75,198.3,21.5,-177.8
0,1327,0,0.009999999,-0.1655884,-158.8125,3.82,0.28,-9.179999,3.14,2.71,9.81,0.1875,-0.5,0.25,-18.06,-57.75,10.75,198.3,21.5,-177.8
0,1336,0,0.009999999,-0.1655884,246.1875,3.59,0.26,-9.07,3.14,2.71,9.81,0.125,-0.625,0.25,-19.18,-58.5,10.37,198.3,21.5,-177.8
0,1402,0,0.009999999,-0.1655884,246.1875,3.88,0.28,-8.98,3.14,2.71,9.81,0.125,0.4375,-0.125,-18.06,-55.5,10.75,198.3,21.5,-177.8
0,1417,0,0.009999999,-0.1655884,246.1875,3.91,0.3,-9.04,3.14,2.71,9.81,0.125,0.125,0.0,-18.06,-55.5,10.75,198.3,21.5,-177.8
0,1439,0,0.009999999,-0.1655884,618.1875,4.0,0.18,-9.05,3.14,2.71,9.81,0.3125,-0.5625,0.125,-19.56,-58.87,10.37,198.3,21.5,-177.8
0,1460,0,0.009999999,-0.1655884,618.1875,4.27,0.53,-9.26,3.14,2.71,9.81,0.375,-0.9375,0.3125,-19.56,-58.87,10.37,198.3,21.5,-177.8
0,1517,0,0.009999999,-0.1043091,618.1875,4.33,0.11,-11.84,3.14,2.71,9.81,0.5625,1.0,-0.125,-18.75,-56.25,10.75,198.3,21.5,-177.8
1,18.0,36.0,11.95679,N,73.0,44.0,45.34492,E,0.0313784,0.0,0.0,0.0,b'ROV',-524.1004,1453.0,16.0
0,1539,0,0.009999999,-0.1043091,298.1875,3.63,0.22,-8.3,3.14,2.71,9.81,0.5,-0.25,-0.4375,-18.75,-55.5,10.37,198.3,21.5,-177.8
0,1580,0,0.009999999,-0.1043091,298.1875,4.24,-0.24,-8.16,3.14,2.71,9.81,-0.875,0.125,0.4375,-18.75,-53.37,9.06,198.3,21.5,-177.8
1,18.0,36.0,11.95679,N,73.0,44.0,45.34492,E,0.0313784,0.0,0.0,0.0,b'VNC',-524.1004,1453.0,97.0
0,1601,0,0.009999999,-0.1043091,298.1875,3.07,-0.52,-11.19,3.14,2.71,9.81,-0.4375,-0.0625,0.1875,-18.75,-53.37,9.06,198.3,21.5,-177.8
0,1651,0,0.009999999,-0.04296875,-27.8125,4.15,0.5,-7.98,3.14,2.71,9.81,0.3125,0.0625,-0.375,-18.06,-51.87,7.75,198.3,21.5,-177.8
1,18.0,36.0,11.95679,N,73.0,44.0,45.34492,E,0.0313784,0.0,0.9700001,0.0,b'GGA',73.69958,1591.0,19.0
0,1673,0,0.009999999,-0.04296875,-27.8125,4.21,0.43,-9.61,3.14,2.71,9.81,-0.375,0.25,0.0625,-18.06,-51.87,7.75,198.3,21.5,-177.8
